Galaxy,Type,GEODESIC_chi2,GEODESIC_AIC,GEODESIC_BIC,MOND_chi2,MOND_AIC,MOND_BIC
UGC07866,dwarf,13.848942179434255,85.09365307660553,85.03956322566084,12.265227132302792,75.59136279381676,75.53727294287206
UGC08286,spiral,42.717864969302866,685.4858395088459,686.319052852902,53.28036494166131,854.485839066581,855.3190524106371
UGC08490,spiral,34.280596028171146,996.1372848169633,997.5384821986255,34.425096160760035,1000.3277886620409,1001.7289860437031
UGC08550,spiral,23.974032109976992,241.74032109976991,242.13821637256828,21.798571155971693,219.98571155971695,220.3836068325153
UGC08699,super-spiral,60.830692991944645,2435.227719677786,2436.94129174449,70.99492077908934,2841.7968311635736,2843.510403230278
UGC08837,dwarf,24.58216053685885,174.07512375801196,174.1545652996918,34.52823073207052,243.6976151244936,243.77705666617345
UGC09037,spiral,76.51259486650682,1608.764492196643,1609.8555346500013,53.41617329133998,1123.7396391181396,1124.830681571498
UGC09133,super-spiral,97.7629496922824,6552.117629382921,6554.337137088098,101.90465821663894,6829.612100514809,6831.831608219985
UGC09992,dwarf,15.79430236113544,65.17720944454176,64.78664735697586,5.226377743704061,22.905510974816245,22.514948887250345
UGC10310,spiral,36.335896705129585,220.0153802307775,219.96129037983283,27.030666707521387,164.18400024512832,164.12991039418364
UGC11455,super-spiral,161.1286710643194,5641.503487251179,5643.087006189635,292.7090968167558,10246.818388586453,10248.401907524909
UGC11557,spiral,76.83533705044687,847.1887075549156,847.6736142047035,186.6132538840352,2054.7457927243872,2055.2306993741754
UGC11820,spiral,34.035060024277854,308.3155402185007,308.61812531149474,46.618878576270106,421.56990718643095,421.872492279425
UGC11914,uncertain,106.59462398825009,6824.055935248006,6826.230322517901,88.89448760804032,5691.247206914581,5693.421594184476
UGC12506,super-spiral,120.3405878958632,3612.217636875896,3613.651624080381,144.80784574960063,4346.235372488019,4347.669359692503
UGC12632,spiral,36.43376038054624,512.0726453276473,512.7806955287496,36.47573566268077,512.6602992775307,513.3683494786329
UGC12732,spiral,42.47498548345808,639.1247822518711,639.8973709741109,39.681740827789426,597.2261124168414,597.9987011390812
UGCA281,dwarf,13.720734688100164,84.32440812860098,84.27031827765629,21.612148411847613,131.67289047108568,131.618800620141
UGCA442,spiral,29.411382609523194,207.87967826666235,207.9591198083422,43.61002659792931,307.27018618550517,307.349627727185
UGCA444,dwarf,15.830723845198847,556.0753345819596,557.6588535204157,22.502237758226734,789.5783215379357,791.1618404763918
